,Depart,Heat,Heat_3d,Heat_7d,Cool_3d,CodeSum_1d,PrecipTotal_1d,PrecipTotal_7d,ResultSpeed_7d,PrecipBool_3d,PrecipBool_7d
23,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.01,11.4,1.0,1.0
24,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
25,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,1.0,0.0
26,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.1,1.0,0.0
27,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.55,9.1,0.0,1.0
28,-2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0
29,-12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,8.2,0.0,1.0
30,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
31,-6.0,1.0,0.0,0.0,2.0,17.0,0.93,0.07,12.1,0.0,1.0
32,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.55,9.1,0.0,1.0
33,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
34,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0
35,5.0,0.0,0.0,0.0,12.0,59.0,0.7,1.55,1.7,0.0,1.0
36,7.0,0.0,0.0,0.0,13.0,17.0,1.31,0.0,3.5,1.0,0.0
37,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,1.0,0.0
38,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
39,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
40,14.0,0.0,7.0,0.0,0.0,0.0,0.55,0.0,7.0,0.0,0.0
41,-5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.2,0.0,0.0
42,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
43,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
44,14.0,0.0,7.0,0.0,0.0,0.0,0.55,0.0,7.0,0.0,0.0
45,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
46,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.1,0.0,0.0
47,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0
48,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
49,9.0,0.0,0.0,0.0,8.0,60.0,0.26,0.0,3.3,1.0,0.0
50,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0
51,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
52,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
53,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.84,8.3,0.0,1.0
54,-3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.5,1.0,0.0
55,-10.0,1.0,0.0,0.0,3.0,0.0,0.32,0.08,4.4,0.0,1.0
56,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
57,3.0,0.0,0.0,0.0,6.0,22.0,0.11,0.0,8.8,0.0,0.0
58,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.01,11.4,1.0,1.0
59,-2.0,0.0,0.0,0.0,2.0,24.0,0.5,0.0,4.1,0.0,0.0
60,-3.0,0.0,0.0,0.0,20.0,14.0,0.43,0.16,4.6,0.0,1.0
61,-1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.09,4.0,0.0,1.0
62,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.6,1.0,0.0
63,-3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
64,-8.0,2.0,0.0,0.0,16.0,0.0,0.0,0.01,7.8,1.0,1.0
65,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
66,-8.0,8.0,0.0,0.0,7.0,0.0,0.25,0.0,6.4,0.0,0.0
67,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
68,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0
69,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
70,7.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,5.8,0.0,0.0
71,-8.0,8.0,0.0,0.0,7.0,0.0,0.25,0.0,6.4,0.0,0.0
72,9.0,0.0,0.0,0.0,11.0,0.0,0.01,0.0,5.5,1.0,0.0
73,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0
74,-2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.95,9.1,0.0,1.0
75,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
76,4.0,0.0,0.0,0.0,11.0,2.0,0.92,0.79,7.4,1.0,1.0
77,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
78,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
79,10.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,14.2,1.0,0.0
80,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0
81,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
82,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.3,0.0,0.0
83,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.3,0.0,0.0
84,7.0,0.0,0.0,0.0,18.0,0.0,0.78,3.97,7.2,0.0,1.0
85,-1.0,0.0,0.0,0.0,9.0,61.0,1.55,0.0,9.4,1.0,0.0
86,-3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
87,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,1.0,0.0
88,7.0,0.0,0.0,0.0,13.0,17.0,1.31,0.0,3.5,1.0,0.0
89,12.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
90,9.0,0.0,0.0,0.0,0.0,3.0,0.48,0.23,3.4,1.0,1.0
91,2.0,0.0,0.0,0.0,6.0,16.0,0.01,0.0,4.2,0.0,0.0
92,9.0,0.0,0.0,0.0,8.0,60.0,0.26,0.0,3.3,1.0,0.0
93,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.48,3.8,1.0,1.0
94,-1.0,0.0,0.0,0.0,8.0,59.0,0.23,0.05,2.5,0.0,1.0
95,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
96,6.0,0.0,0.0,0.0,13.0,59.0,1.48,0.0,5.1,1.0,0.0
97,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
98,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.1,0.0,0.0
99,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.1,1.0,0.0
100,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.23,1.5,0.0,1.0
101,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0
102,1.0,0.0,0.0,0.0,6.0,19.0,0.05,0.0,12.2,0.0,0.0
103,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.3,1.0,0.0
104,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
105,5.0,0.0,0.0,0.0,12.0,59.0,0.7,1.55,1.7,0.0,1.0
106,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0
107,-7.0,1.0,0.0,0.0,13.0,17.0,0.01,0.0,5.8,1.0,0.0
108,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
109,-7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.6,1.0,0.0
110,-1.0,0.0,0.0,5.0,7.0,2.0,0.0,0.06,9.5,1.0,1.0
111,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
112,-8.0,8.0,0.0,0.0,7.0,0.0,0.25,0.0,6.4,0.0,0.0
113,-4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,6.2,0.0,0.0
114,-2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.95,9.1,0.0,1.0
115,5.0,0.0,0.0,0.0,12.0,59.0,0.7,1.55,1.7,0.0,1.0
116,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
117,-2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.7,1.0,0.0
118,-2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,4.5,1.0,0.0
119,8.0,0.0,0.0,0.0,11.0,13.0,0.0,0.19,7.2,0.0,1.0
120,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
121,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
122,2.0,0.0,0.0,5.0,0.0,17.0,0.04,0.52,6.4,0.0,1.0
123,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
124,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
125,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
126,10.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,14.2,1.0,0.0
127,-5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.2,0.0,0.0
128,-2.0,0.0,0.0,0.0,2.0,24.0,0.5,0.0,4.1,0.0,0.0
129,4.0,0.0,0.0,0.0,11.0,2.0,0.92,0.79,7.4,1.0,1.0
130,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
131,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
132,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
133,9.0,0.0,0.0,0.0,11.0,0.0,0.01,0.0,5.5,1.0,0.0
134,-7.0,5.0,0.0,0.0,21.0,59.0,0.93,0.01,10.8,0.0,1.0
135,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
136,8.0,0.0,0.0,0.0,11.0,13.0,0.0,0.19,7.2,0.0,1.0
137,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
138,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
139,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.6,0.0,0.0
140,6.0,0.0,0.0,0.0,13.0,59.0,1.48,0.0,5.1,1.0,0.0
141,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
142,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.48,3.8,1.0,1.0
143,-6.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
144,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
145,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
146,-2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0
147,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
148,7.0,0.0,0.0,0.0,13.0,17.0,1.31,0.0,3.5,1.0,0.0
149,8.0,2.0,0.0,0.0,13.0,0.0,0.0,0.09,10.8,0.0,1.0
150,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
151,1.0,0.0,0.0,0.0,6.0,19.0,0.05,0.0,12.2,0.0,0.0
152,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
153,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
154,-7.0,5.0,0.0,0.0,21.0,59.0,0.93,0.01,10.8,0.0,1.0
155,-7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.6,1.0,0.0
156,6.0,0.0,0.0,0.0,13.0,59.0,1.48,0.0,5.1,1.0,0.0
157,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.48,3.8,1.0,1.0
158,-4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.14,8.9,1.0,1.0
159,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
160,-1.0,0.0,0.0,0.0,8.0,59.0,0.23,0.05,2.5,0.0,1.0
161,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.58,10.7,1.0,1.0
162,1.0,0.0,0.0,0.0,6.0,19.0,0.05,0.0,12.2,0.0,0.0
163,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.3,0.0,0.0
164,-8.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0
165,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0
166,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0
167,-7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.6,1.0,0.0
168,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
169,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
170,7.0,0.0,1.0,0.0,0.0,59.0,0.91,0.41,5.9,1.0,1.0
171,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,4.4,0.0,1.0
172,-2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.7,1.0,0.0
173,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
174,7.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,5.8,0.0,0.0
175,-8.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0
176,-3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.5,1.0,0.0
177,-8.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0
178,-5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.2,0.0,0.0
179,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.7,4.3,1.0,1.0
180,-10.0,11.0,0.0,1.0,0.0,58.0,0.44,1.73,7.5,0.0,1.0
181,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.23,1.5,0.0,1.0
182,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.45,5.9,1.0,1.0
183,14.0,0.0,0.0,0.0,4.0,16.0,0.02,0.0,4.1,0.0,0.0
184,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0
185,-4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.14,8.9,1.0,1.0
186,14.0,0.0,7.0,0.0,0.0,0.0,0.55,0.0,7.0,0.0,0.0
187,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
188,8.0,2.0,0.0,0.0,13.0,0.0,0.0,0.09,10.8,0.0,1.0
189,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.84,8.3,0.0,1.0
190,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
191,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.55,9.1,0.0,1.0
192,5.0,0.0,0.0,0.0,12.0,59.0,0.7,1.55,1.7,0.0,1.0
193,3.0,0.0,0.0,0.0,9.0,46.0,0.19,0.0,8.6,0.0,0.0
194,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
195,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.3,0.0,0.0
196,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
197,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.01,11.4,1.0,1.0
198,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
199,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
200,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
201,12.0,0.0,15.0,4.0,0.0,0.0,0.0,0.25,11.7,0.0,1.0
202,-3.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0
203,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
204,-3.0,0.0,0.0,0.0,20.0,14.0,0.43,0.16,4.6,0.0,1.0
205,-3.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
206,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.01,11.4,1.0,1.0
207,2.0,0.0,0.0,5.0,0.0,17.0,0.04,0.52,6.4,0.0,1.0
208,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0
209,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
210,14.0,0.0,7.0,0.0,0.0,0.0,0.55,0.0,7.0,0.0,0.0
211,-7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.6,1.0,0.0
212,9.0,0.0,0.0,0.0,0.0,3.0,0.48,0.23,3.4,1.0,1.0
213,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
214,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
215,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
216,9.0,0.0,0.0,0.0,8.0,60.0,0.26,0.0,3.3,1.0,0.0
217,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0
218,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
219,-5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.2,0.0,0.0
220,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
221,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
222,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
223,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
224,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
225,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
226,-4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.14,8.9,1.0,1.0
227,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0
228,-4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.14,8.9,1.0,1.0
229,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0
230,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0
231,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
232,5.0,0.0,0.0,0.0,12.0,59.0,0.7,1.55,1.7,0.0,1.0
233,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.1,0.0,0.0
234,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.45,5.9,1.0,1.0
235,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
236,4.0,0.0,0.0,0.0,13.0,47.0,2.35,0.0,5.9,1.0,0.0
237,-6.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0
238,8.0,0.0,0.0,0.0,11.0,13.0,0.0,0.19,7.2,0.0,1.0
239,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
240,-2.0,0.0,0.0,0.0,2.0,24.0,0.5,0.0,4.1,0.0,0.0
241,4.0,0.0,0.0,0.0,13.0,45.0,0.41,0.06,3.0,1.0,1.0
242,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
243,9.0,0.0,0.0,0.0,8.0,60.0,0.26,0.0,3.3,1.0,0.0
244,2.0,0.0,0.0,5.0,0.0,17.0,0.04,0.52,6.4,0.0,1.0
245,5.0,0.0,0.0,0.0,16.0,59.0,0.06,0.0,5.5,1.0,0.0
246,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
247,-6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0
248,-2.0,0.0,0.0,1.0,4.0,36.0,0.0,0.0,10.6,1.0,0.0
249,-2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.7,1.0,0.0
250,-10.0,1.0,0.0,0.0,3.0,0.0,0.32,0.08,4.4,0.0,1.0
251,-2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.7,1.0,0.0
252,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.6,0.0,0.0
253,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.55,9.1,0.0,1.0
254,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.48,3.8,1.0,1.0
255,8.0,2.0,0.0,0.0,13.0,0.0,0.0,0.09,10.8,0.0,1.0
256,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.1,1.0,0.0
257,7.0,0.0,0.0,0.0,13.0,17.0,1.31,0.0,3.5,1.0,0.0
258,14.0,0.0,0.0,0.0,4.0,16.0,0.02,0.0,4.1,0.0,0.0
259,11.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,9.1,0.0,0.0
260,-6.0,1.0,0.0,0.0,2.0,17.0,0.93,0.07,12.1,0.0,1.0
261,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
262,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.6,0.0,0.0
263,-4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,6.2,0.0,0.0
264,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0
265,8.0,0.0,0.0,0.0,11.0,13.0,0.0,0.19,7.2,0.0,1.0
266,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
267,-2.0,0.0,0.0,0.0,2.0,24.0,0.5,0.0,4.1,0.0,0.0
268,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
269,-2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.7,1.0,0.0
270,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.1,0.0,0.0
271,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.01,11.4,1.0,1.0
272,12.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
273,-5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.2,0.0,0.0
274,8.0,0.0,0.0,0.0,16.0,0.0,0.0,0.23,1.5,0.0,1.0
275,-10.0,1.0,0.0,0.0,3.0,0.0,0.32,0.08,4.4,0.0,1.0
276,-7.0,5.0,0.0,0.0,21.0,59.0,0.93,0.01,10.8,0.0,1.0
277,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
278,-9.0,9.0,0.0,0.0,8.0,59.0,0.39,0.0,5.8,1.0,0.0
279,-12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,8.2,0.0,1.0
280,7.0,0.0,0.0,0.0,14.0,42.0,0.18,0.01,10.6,1.0,1.0
281,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.4,0.0,0.0
282,18.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.7,0.0,0.0
283,-12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,8.2,0.0,1.0
284,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
285,9.0,0.0,0.0,0.0,0.0,3.0,0.48,0.23,3.4,1.0,1.0
286,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
287,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.2,0.0,0.0
288,7.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,2.9,0.0,0.0
289,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.3,0.0,0.0
290,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.48,3.8,1.0,1.0
291,4.0,0.0,0.0,0.0,11.0,2.0,0.92,0.79,7.4,1.0,1.0
292,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.8,0.0,0.0
293,-12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,8.2,0.0,1.0
294,10.0,0.0,1.0,3.0,0.0,0.0,0.0,0.14,4.9,1.0,1.0
295,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0
296,-6.0,3.0,4.0,3.0,0.0,31.0,0.01,0.0,5.8,1.0,0.0
297,-6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0
