,0,1,2,3,4,5,6,7,8
129,0,12,16,34,0,0,1,0,0
130,1,12,1,19,0,0,1,0,0
131,0,12,3,21,0,0,0,1,0
132,0,12,8,26,0,1,0,0,0
133,0,14,2,22,0,0,0,1,0
134,0,9,16,31,0,0,0,1,0
135,0,10,9,25,0,1,1,0,1
136,0,12,2,20,0,0,0,0,0
137,0,7,43,56,0,1,1,1,0
138,0,9,38,53,0,1,0,1,0
139,0,12,9,27,0,1,0,0,0
140,0,12,12,30,0,1,1,0,0
141,0,12,18,36,0,1,0,1,0
142,1,11,15,32,0,0,0,1,0
143,1,11,28,45,0,1,1,0,1
144,1,10,27,43,0,1,1,0,1
145,0,12,38,56,0,1,1,0,0
146,0,12,3,21,1,0,0,1,0
147,1,12,41,59,0,1,0,0,0
148,1,12,16,34,0,1,1,0,0
149,0,13,7,26,0,1,1,1,0
150,0,6,33,45,1,0,1,1,0
151,0,14,25,45,0,1,0,1,0
152,0,12,5,23,0,1,1,0,0
153,0,14,17,37,0,0,1,0,0
154,0,12,1,19,0,0,1,0,0
155,0,12,13,31,0,1,0,1,0
156,0,16,18,40,0,1,0,0,0
157,0,14,21,41,0,1,1,0,0
158,0,14,2,22,0,0,0,0,0
159,0,12,4,22,1,0,1,0,0
160,0,12,30,48,1,1,1,0,0
161,0,13,32,51,0,0,0,0,0
162,0,17,13,36,1,1,0,0,0
163,0,12,17,35,0,0,0,0,0
164,0,14,26,46,1,1,0,0,0
165,0,16,9,31,0,0,0,0,0
166,0,16,8,30,0,0,0,0,0
167,1,15,1,22,0,1,0,0,0
168,0,17,32,55,0,1,1,0,0
169,0,12,24,42,1,1,0,0,0
170,0,14,1,21,1,0,0,0,0
171,0,12,42,60,0,1,0,1,0
172,0,16,3,25,1,0,0,1,0
173,0,12,32,50,1,1,0,0,0
174,0,14,22,42,0,0,0,0,0
175,0,16,18,40,0,1,0,0,0
176,0,18,19,43,1,1,0,0,0
177,0,15,12,33,0,1,0,0,0
178,0,12,42,60,1,1,0,0,0
179,0,12,34,52,0,1,1,0,0
180,0,18,29,53,0,1,0,0,0
181,0,16,8,30,0,0,1,0,0
182,0,18,13,37,0,0,0,1,0
183,0,16,10,32,0,0,0,0,0
184,0,16,22,44,0,1,0,0,0
185,0,16,10,32,0,1,1,0,0
186,0,17,15,38,1,1,0,0,0
187,0,12,26,44,0,1,0,0,0
188,0,14,16,36,0,0,0,0,0
189,0,18,14,38,1,1,0,0,0
190,0,12,38,56,1,1,0,0,0
191,0,12,14,32,0,1,1,0,0
192,0,12,7,25,1,1,0,0,0
193,0,18,13,37,1,0,1,0,0
194,0,10,20,36,0,1,0,0,0
195,1,16,7,29,0,1,0,0,0
196,0,16,26,48,1,1,0,0,0
197,0,16,14,36,0,1,0,0,0
198,0,13,36,55,0,0,0,0,0
199,0,12,24,42,0,1,0,0,0
200,0,14,41,61,0,1,1,0,0
201,0,16,7,29,0,1,0,0,0
202,0,17,14,37,0,0,1,0,0
203,0,12,1,19,1,0,1,0,0
204,0,16,6,28,1,1,0,1,0
205,0,12,3,21,1,1,0,0,0
206,0,15,31,52,0,1,0,0,0
207,0,13,14,33,1,1,0,1,0
208,0,14,13,33,1,1,0,0,0
209,1,16,26,48,0,1,0,1,0
210,0,18,14,38,0,1,0,0,0
211,0,13,33,52,1,1,0,0,0
212,0,12,16,34,0,1,0,0,0
213,0,18,10,34,0,1,0,0,0
214,0,14,22,42,0,0,0,0,0
215,0,14,2,22,0,0,0,0,0
216,0,12,29,47,1,1,1,0,0
217,0,12,43,61,0,1,0,1,0
218,0,12,5,23,1,1,0,0,0
219,0,16,14,36,1,1,1,0,0
220,0,12,28,46,0,1,1,0,0
221,0,11,25,42,1,1,1,0,0
222,0,12,45,63,1,1,0,0,0
223,0,14,5,25,0,0,1,0,0
224,0,12,20,38,0,1,1,1,0
225,0,16,6,28,1,1,0,0,0
226,0,16,16,38,0,1,0,0,0
227,0,11,33,50,1,1,0,0,0
228,0,13,2,21,1,1,1,0,0
229,0,12,10,28,1,0,1,0,0
230,0,14,44,64,0,1,1,0,0
231,0,14,6,26,1,1,1,0,0
232,0,12,15,33,1,0,0,0,0
233,0,12,5,23,0,1,0,0,0
234,0,13,4,23,1,1,0,1,0
235,0,14,14,34,0,1,0,0,0
236,0,14,32,52,1,1,0,0,0
237,0,12,14,32,1,1,0,0,0
238,0,14,21,41,0,1,0,0,0
239,1,12,43,61,0,1,0,0,0
240,0,12,27,45,1,1,1,0,0
241,0,12,4,22,1,0,0,0,0
242,0,14,0,20,0,0,0,0,0
243,0,12,32,50,0,1,1,0,0
244,0,12,20,38,0,1,0,0,0
245,0,15,4,25,0,0,1,0,0
246,0,12,34,52,0,1,0,0,0
247,0,13,5,24,0,0,0,0,0
248,0,17,13,36,0,1,0,1,0
249,0,14,17,37,1,1,0,0,0
250,0,13,10,29,1,1,1,0,0
251,0,16,7,29,1,1,0,0,0
252,0,12,25,43,1,0,0,0,0
253,0,12,18,36,1,1,0,0,0
254,0,16,27,49,1,1,0,1,0
255,0,16,2,24,1,0,0,0,0
256,0,13,13,32,0,1,0,0,0
257,0,14,24,44,1,0,0,0,0
258,0,18,13,37,1,1,1,0,0
259,1,14,15,35,1,0,0,0,0
260,0,12,12,30,1,0,1,0,0
261,0,12,24,42,1,1,0,0,0
262,0,12,43,61,1,1,0,0,1
263,0,12,13,31,1,1,0,1,0
264,0,12,16,34,1,1,1,0,0
265,0,11,24,41,1,1,0,0,0
266,0,16,4,26,1,1,1,0,0
267,0,12,24,42,1,1,0,0,0
268,0,12,45,63,1,1,0,0,0
269,1,12,20,38,0,1,0,0,0
270,0,12,38,56,1,1,0,0,0
271,0,18,10,34,0,1,1,0,0
272,0,11,16,33,1,1,0,0,0
273,0,12,32,50,1,1,1,0,0
274,0,16,2,24,1,0,1,0,0
275,0,13,28,47,1,0,1,0,0
276,0,16,3,25,0,0,0,0,0
277,1,13,8,27,1,0,0,0,0
278,0,12,44,62,1,1,0,1,0
279,0,12,12,30,0,1,1,0,0
280,0,12,8,26,0,1,1,0,0
281,0,12,4,22,1,1,0,0,0
282,0,12,28,46,1,1,1,0,0
283,0,13,0,19,1,0,1,0,0
284,0,14,1,21,0,0,1,0,0
285,0,14,12,32,1,1,0,1,0
286,0,12,39,57,1,1,0,0,0
287,0,12,24,42,1,1,0,0,0
288,0,17,32,55,1,1,0,0,0
289,0,16,4,26,0,0,0,0,0
290,0,12,25,43,1,0,0,0,0
291,0,12,8,26,0,0,0,0,0
292,0,13,16,35,1,1,0,0,0
293,0,12,5,23,0,0,1,0,0
294,0,13,31,50,0,0,0,0,0
295,0,12,25,43,1,0,0,0,0
296,0,12,15,33,1,1,0,0,0
297,0,14,15,35,1,1,1,0,0
298,0,12,0,18,1,0,0,0,0
299,0,12,19,37,0,1,0,0,0
300,0,12,21,39,1,0,0,0,0
301,0,12,6,24,1,0,0,0,0
302,1,12,14,32,1,1,0,0,0
303,0,13,30,49,1,1,0,0,0
304,0,12,8,26,1,0,0,0,0
305,1,9,33,48,0,0,0,0,0
306,0,13,16,35,0,0,0,0,0
307,0,12,20,38,1,0,1,0,0
308,0,13,6,25,1,1,1,0,0
309,1,12,10,28,1,1,0,0,0
310,0,13,1,20,1,0,1,0,0
311,0,12,2,20,0,0,1,0,0
312,0,13,0,19,1,0,1,0,0
313,0,16,17,39,0,1,0,0,0
314,0,12,8,26,1,0,0,0,0
315,0,12,4,22,0,0,1,0,0
316,0,12,15,33,1,0,0,0,0
317,0,12,29,47,1,1,0,0,0
318,0,12,23,41,1,1,1,0,0
319,0,12,39,57,1,1,1,0,0
320,0,12,14,32,1,1,1,0,0
321,0,17,6,29,1,0,1,0,0
322,1,14,12,32,0,1,1,0,0
323,0,12,26,44,1,0,1,0,0
324,0,14,32,52,1,1,0,0,0
325,0,15,6,27,1,1,0,0,0
326,0,12,40,58,1,1,0,0,0
327,0,12,18,36,1,1,0,1,0
328,0,11,12,29,1,0,0,0,0
329,0,12,36,54,1,1,1,0,1
330,0,12,19,37,1,1,0,0,0
331,0,16,42,64,1,0,0,1,0
332,0,13,2,21,1,1,0,0,0
333,0,12,33,51,1,1,0,0,0
334,0,12,14,32,1,1,1,0,0
335,0,12,22,40,0,0,0,0,0
336,0,12,20,38,1,1,0,0,0
337,0,12,15,33,1,1,0,0,0
338,0,12,35,53,0,1,0,0,0
339,0,12,7,25,1,1,0,0,0
340,0,12,45,63,1,0,0,1,0
341,0,12,9,27,1,0,0,0,0
342,0,12,2,20,1,1,1,0,0
343,0,17,3,26,0,0,1,0,0
344,1,14,19,39,1,1,0,0,0
345,0,12,14,32,1,1,1,0,0
346,0,4,54,64,0,1,0,0,0
347,0,14,17,37,0,1,0,0,0
348,0,8,29,43,1,1,0,0,0
349,0,15,26,47,1,0,1,0,0
350,0,2,16,24,0,0,0,0,0
351,0,8,29,43,1,0,0,0,0
352,0,11,20,37,1,1,0,0,0
353,0,10,38,54,1,1,1,0,0
354,0,8,37,51,1,1,1,0,0
355,0,9,48,63,0,0,0,0,0
356,0,12,16,34,1,0,0,0,0
357,0,8,38,52,1,1,0,0,0
358,0,14,0,20,0,0,0,0,0
359,1,12,14,32,0,0,0,0,0
360,0,12,2,20,1,1,0,0,0
361,0,16,21,43,0,1,0,0,0
362,0,13,15,34,1,1,0,0,0
363,0,16,20,42,1,0,0,0,0
364,0,14,12,32,1,1,0,0,0
365,0,12,7,25,0,0,1,0,0
366,0,11,4,21,0,1,0,0,0
367,0,13,9,28,0,1,1,0,0
368,0,12,43,61,1,1,1,0,0
369,0,10,19,35,0,0,1,0,0
370,0,8,49,63,1,0,0,0,0
371,0,12,38,56,1,1,0,0,0
372,0,12,13,31,1,1,0,0,0
373,0,12,14,32,1,1,0,0,0
374,0,12,20,38,0,0,0,0,0
375,0,12,7,25,1,0,0,0,0
376,1,12,9,27,1,1,0,1,0
377,0,12,6,24,1,0,0,0,0
378,0,12,5,23,1,1,1,0,0
379,0,13,1,20,1,0,1,0,0
380,1,14,22,42,0,1,0,0,0
381,0,12,24,42,1,1,0,0,0
382,1,12,15,33,1,0,0,0,0
383,0,11,8,25,1,1,1,0,0
384,0,11,17,34,1,1,1,0,0
385,0,12,2,20,0,0,1,0,0
386,0,12,20,38,0,1,1,0,0
387,1,12,26,44,0,1,0,0,0
388,0,10,37,53,1,1,1,0,0
389,0,12,41,59,1,0,0,0,0
390,0,12,27,45,1,1,0,0,0
391,1,12,5,23,1,1,0,0,0
392,0,14,16,36,0,1,0,0,0
393,0,14,19,39,1,1,0,0,0
394,0,12,10,28,0,1,0,0,0
395,1,13,1,20,0,0,1,0,0
396,1,12,43,61,1,1,0,0,0
397,0,13,3,22,0,0,0,0,0
398,0,12,0,18,1,0,0,0,0
399,0,12,26,44,1,1,1,0,0
400,1,10,25,41,1,1,0,0,0
401,0,12,15,33,1,1,0,0,0
402,0,14,10,30,1,0,1,0,0
403,1,11,45,62,1,0,0,0,0
404,0,11,3,20,0,0,0,0,0
405,1,8,47,61,0,1,0,0,0
406,0,16,6,28,1,1,0,0,0
407,0,10,33,49,1,0,1,0,0
408,0,16,3,25,0,0,0,1,0
409,1,14,4,24,0,0,0,0,0
410,1,14,34,54,0,1,0,0,0
411,0,11,39,56,0,1,1,0,0
412,0,12,17,35,1,1,1,0,0
413,1,9,47,62,0,1,0,0,0
414,0,11,2,19,0,0,0,0,0
415,0,13,0,19,0,0,1,0,0
416,0,14,24,44,1,0,0,0,0
417,1,12,25,43,0,1,0,0,0
418,0,14,6,26,1,0,0,0,0
419,0,12,10,28,1,0,0,0,0
420,0,12,33,51,1,1,0,0,0
421,0,12,12,30,0,0,0,0,0
422,0,12,9,27,1,1,1,0,0
423,1,11,18,35,0,1,1,0,0
424,0,12,10,28,0,1,0,0,0
425,0,8,45,59,1,0,1,0,0
426,1,9,46,61,1,1,0,0,0
427,0,7,14,27,0,1,1,0,0
428,0,11,36,53,1,0,0,0,0
429,1,13,34,53,0,1,0,0,1
430,0,18,15,39,0,1,0,0,0
431,0,17,31,54,0,1,0,1,0
432,0,16,6,28,1,0,0,1,0
433,0,14,15,35,0,1,1,0,0
434,0,12,30,48,0,1,0,0,0
435,0,18,8,32,0,1,0,0,0
436,0,18,5,29,0,1,0,1,0
437,1,17,3,26,1,0,0,0,0
438,0,13,17,36,0,1,1,0,0
439,1,16,5,27,0,1,0,1,0
440,0,14,10,30,1,1,0,0,0
441,0,15,33,54,1,0,0,0,0
442,0,18,3,27,0,1,0,0,0
443,0,16,0,18,1,0,0,0,0
444,0,16,13,35,0,1,1,0,0
445,0,18,12,36,0,1,0,0,0
446,0,16,6,28,1,1,0,0,0
447,0,17,7,30,0,1,0,0,0
448,1,16,14,36,0,1,1,0,0
449,0,17,5,28,1,0,0,0,0
450,0,15,10,31,1,1,1,0,0
451,0,18,11,35,1,1,0,0,0
452,0,17,24,47,1,1,0,0,0
453,0,16,9,31,0,0,0,1,0
454,0,18,12,36,0,1,1,0,0
455,0,18,19,43,0,1,0,0,0
456,0,14,14,34,1,1,0,0,0
457,0,16,17,39,1,0,0,1,0
458,0,18,7,31,0,0,1,0,0
459,0,18,7,31,0,1,0,0,0
460,0,16,22,44,1,1,0,0,0
461,0,12,28,46,1,1,0,0,0
462,0,16,16,38,1,0,0,0,0
463,0,16,16,38,0,0,1,0,0
464,0,16,7,29,1,1,0,0,0
465,0,12,11,29,1,0,0,0,0
466,0,12,11,29,1,1,0,0,0
467,0,12,16,34,1,0,0,0,0
468,1,18,33,57,0,0,0,0,0
469,0,12,21,39,1,1,1,0,0
470,0,16,4,26,0,1,0,1,0
471,0,15,13,34,0,1,0,0,0
472,1,18,14,38,0,1,0,0,0
473,0,16,10,32,1,1,0,0,0
474,0,18,14,38,0,1,1,0,0
475,0,16,29,51,0,1,1,0,0
476,0,12,4,22,0,0,0,0,0
477,0,18,27,51,0,1,0,0,0
478,0,12,3,21,0,1,0,0,0
479,1,16,14,36,0,1,1,0,0
480,0,14,0,20,0,1,0,0,1
481,0,18,33,57,0,1,0,0,0
482,0,16,38,60,0,1,1,0,0
483,1,18,18,42,1,1,0,0,0
484,0,17,3,26,0,0,0,1,0
485,0,18,40,64,1,0,0,0,0
486,0,14,19,39,0,0,0,1,0
487,0,14,4,24,1,0,0,0,0
488,0,16,11,33,1,1,0,0,0
489,0,16,16,38,1,1,0,0,0
490,0,14,22,42,0,1,0,0,0
491,1,17,13,36,1,0,0,0,0
492,1,16,28,50,1,1,1,0,0
493,0,16,10,32,1,1,0,0,0
494,0,16,5,27,1,0,1,0,0
495,0,15,5,26,0,0,0,0,0
496,0,18,37,61,1,0,0,1,0
497,1,17,26,49,1,1,0,0,0
498,0,16,4,26,1,1,1,0,0
499,1,18,31,55,1,0,0,0,0
500,1,17,13,36,1,1,0,0,0
501,0,12,42,60,1,1,0,0,0
502,0,17,18,41,0,1,0,0,0
503,0,12,3,21,1,1,0,0,0
504,0,17,10,33,1,0,0,0,0
505,1,16,10,32,1,0,0,0,0
506,0,16,17,39,1,1,0,0,0
507,0,18,7,31,0,1,0,0,0
508,0,16,14,36,1,1,0,0,0
509,1,16,22,44,1,1,0,0,0
510,0,17,14,37,1,1,0,0,0
511,0,16,11,33,0,1,0,0,0
512,1,18,23,47,0,1,0,0,0
513,1,12,39,57,0,1,0,0,0
514,0,16,15,37,0,1,0,0,0
515,0,14,15,35,1,0,0,0,0
516,0,16,10,32,0,0,0,0,0
517,0,12,25,43,1,0,1,0,0
518,0,14,12,32,1,1,0,0,0
519,0,16,7,29,1,1,1,0,0
520,1,17,7,30,0,1,0,0,0
521,0,16,17,39,0,1,0,1,0
522,1,16,10,32,0,1,0,0,0
523,0,17,2,25,0,1,1,0,0
524,1,9,34,49,1,1,1,0,0
525,0,15,11,32,1,1,0,0,0
526,0,15,10,31,0,0,0,0,0
527,0,12,12,30,0,1,1,0,0
528,1,16,6,28,1,0,0,0,0
529,0,18,5,29,0,0,0,0,0
530,0,12,33,51,1,1,0,0,0
531,1,17,25,48,1,1,0,0,0
532,1,12,13,31,0,1,1,0,0
533,0,16,33,55,0,1,0,1,0
